date,minsWorked
5/26/2023,319
5/27/2023,12
5/28/2023,0
5/29/2023,127
5/30/2023,0
5/31/2023,0
6/1/2023,60
6/2/2023,20
6/3/2023,0
6/4/2023,0
6/5/2023,0
6/6/2023,67
6/7/2023,0
6/8/2023,90
6/9/2023,100
6/10/2023,0
6/11/2023,0
6/12/2023,0
6/13/2023,0
6/14/2023,111
6/15/2023,100
6/16/2023,20
6/17/2023,0
6/18/2023,90
6/19/2023,91
6/20/2023,0
6/21/2023,165
6/22/2023,101
6/23/2023,5
6/24/2023,71
6/25/2023,164
6/26/2023,79
6/27/2023,166
6/28/2023,140
6/29/2023,107
6/30/2023,18
7/1/2023,256
7/2/2023,141
7/3/2023,11
7/4/2023,0
7/5/2023,280
7/6/2023,163
7/7/2023,99
7/8/2023,0
7/9/2023,71
7/10/2023,99
7/11/2023,50
7/12/2023,262
7/13/2023,301
7/14/2023,14
7/15/2023,0
7/16/2023,0
7/17/2023,0
7/18/2023,0
7/19/2023,10
7/20/2023,74
7/21/2023,264
7/22/2023,0
7/23/2023,0
7/24/2023,0
7/25/2023,6
7/26/2023,79
7/27/2023,205
7/28/2023,275
7/29/2023,80
7/30/2023,0
7/31/2023,0
8/1/2023,248
8/2/2023,128
8/3/2023,34
8/4/2023,79
8/5/2023,178
8/6/2023,160
8/7/2023,154
8/8/2023,12
8/9/2023,16
8/10/2023,266
8/11/2023,324
8/12/2023,210
8/13/2023,311
8/14/2023,0
8/15/2023,0
8/16/2023,0
8/17/2023,304
8/18/2023,392
8/19/2023,0
8/20/2023,0
8/21/2023,0
8/22/2023,0
8/23/2023,0
8/24/2023,0
8/25/2023,0
8/26/2023,0
8/27/2023,23
8/28/2023,236
8/29/2023,452
8/30/2023,86
8/31/2023,232
9/1/2023,323
9/2/2023,155
9/3/2023,366
9/4/2023,100
9/5/2023,377
9/6/2023,30
9/7/2023,266
9/8/2023,92
9/9/2023,501
9/10/2023,130
9/11/2023,200
9/12/2023,290
9/13/2023,61
9/14/2023,391
9/15/2023,120
9/16/2023,241
9/17/2023,95
9/18/2023,182
9/19/2023,220
9/20/2023,35
9/21/2023,168
9/22/2023,0
9/23/2023,0
9/24/2023,0
9/25/2023,0
9/26/2023,514
9/27/2023,351
9/28/2023,210
9/29/2023,314
9/30/2023,250
10/1/2023,177
10/2/2023,228
10/3/2023,399
10/4/2023,49
10/5/2023,426
10/6/2023,174
